date,time,symbol,price,variance,slope,trend
2025-03-15,10:39:53.000,BTCUSD,84337.38000,14.955743,-0.212721,Bearish
2025-03-15,10:39:53.000,BTCUSD,84340.88000,15.155126,-0.223395,Bearish
2025-03-15,10:39:53.000,BTCUSD,84337.38000,16.350738,-0.260917,Bearish
2025-03-15,10:39:53.000,BTCUSD,84343.05000,15.897850,-0.237364,Bearish
2025-03-15,10:39:53.000,BTCUSD,84342.30000,15.572428,-0.221075,Bearish
2025-03-15,10:39:54.000,BTCUSD,84338.17000,16.290563,-0.260685,Bearish
2025-03-15,10:39:54.000,BTCUSD,84340.19000,16.482466,-0.270959,Bearish
2025-03-15,10:39:54.000,BTCUSD,84340.10000,15.517545,-0.248149,Bearish
2025-03-15,10:39:54.000,BTCUSD,84340.06000,15.639420,-0.254656,Bearish
2025-03-15,10:39:54.000,BTCUSD,84340.61000,15.672951,-0.256843,Bearish
2025-03-15,10:39:54.000,BTCUSD,84342.80000,15.681900,-0.254087,Bearish
2025-03-15,10:39:54.000,BTCUSD,84342.55000,15.261852,-0.228129,Bearish
2025-03-15,10:39:55.000,BTCUSD,84344.55000,14.558302,-0.177275,Bearish
2025-03-15,10:39:55.000,BTCUSD,84344.28000,14.494098,-0.145137,Bearish
2025-03-15,10:39:56.000,BTCUSD,84339.53000,14.701364,-0.162501,Bearish
2025-03-15,10:39:56.000,BTCUSD,84344.06000,14.224656,-0.119506,Bearish
2025-03-15,10:39:56.000,BTCUSD,84343.85000,14.330096,-0.101913,Bearish
2025-03-15,10:39:56.000,BTCUSD,84342.97000,14.361780,-0.093566,Bearish
2025-03-15,10:39:56.000,BTCUSD,84343.78000,13.329957,-0.041918,Bearish
2025-03-15,10:39:56.000,BTCUSD,84346.26000,12.802889,0.027511,Bullish
2025-03-15,10:39:56.000,BTCUSD,84347.76000,12.830565,0.106672,Bullish
2025-03-15,10:39:57.000,BTCUSD,84348.53000,12.817065,0.196770,Bullish
2025-03-15,10:39:57.000,BTCUSD,84346.62000,12.629717,0.264972,Bullish
2025-03-15,10:39:57.000,BTCUSD,84344.91000,12.445810,0.312180,Bullish
2025-03-15,10:39:57.000,BTCUSD,84342.78000,12.413800,0.328614,Bullish
2025-03-15,10:39:57.000,BTCUSD,84345.78000,12.885640,0.346852,Bullish
2025-03-15,10:39:57.000,BTCUSD,84344.85000,11.280918,0.315475,Bullish
2025-03-15,10:39:57.000,BTCUSD,84343.03000,9.206783,0.266903,Bullish
2025-03-15,10:39:57.000,BTCUSD,84344.03000,7.914031,0.233462,Bullish
2025-03-15,10:39:58.000,BTCUSD,84339.53000,8.133551,0.198578,Bullish
2025-03-15,10:39:58.000,BTCUSD,84344.28000,7.196378,0.171384,Bullish
2025-03-15,10:39:58.000,BTCUSD,84344.40000,7.102277,0.166031,Bullish
2025-03-15,10:39:58.000,BTCUSD,84344.75000,6.042225,0.137232,Bullish
