date,time,symbol,price
2025-03-17,18:20:09.000,BTCUSD,83394.95000
2025-03-17,18:20:09.000,BTCUSD,83385.50000
2025-03-17,18:20:09.000,BTCUSD,83385.50000
2025-03-17,18:20:09.000,BTCUSD,83386.51000
2025-03-17,18:20:09.000,BTCUSD,83386.51000
2025-03-17,18:20:09.000,BTCUSD,83390.15000
2025-03-17,18:20:09.000,BTCUSD,83390.15000
2025-03-17,18:20:09.000,BTCUSD,83389.45000
2025-03-17,18:20:09.000,BTCUSD,83389.45000
2025-03-17,18:20:10.000,BTCUSD,83394.32000
2025-03-17,18:20:10.000,BTCUSD,83394.32000
2025-03-17,18:20:10.000,BTCUSD,83392.70000
2025-03-17,18:20:10.000,BTCUSD,83392.70000
2025-03-17,18:20:10.000,BTCUSD,83392.15000
2025-03-17,18:20:10.000,BTCUSD,83392.15000
2025-03-17,18:20:10.000,BTCUSD,83390.45000
2025-03-17,18:20:10.000,BTCUSD,83390.45000
2025-03-17,18:20:10.000,BTCUSD,83395.31000
2025-03-17,18:20:10.000,BTCUSD,83395.31000
2025-03-17,18:20:10.000,BTCUSD,83390.76000
2025-03-17,18:20:10.000,BTCUSD,83390.76000
2025-03-17,18:20:11.000,BTCUSD,83390.30000
2025-03-17,18:20:11.000,BTCUSD,83390.30000
2025-03-17,18:20:11.000,BTCUSD,83395.43000
2025-03-17,18:20:11.000,BTCUSD,83395.43000
2025-03-17,18:20:11.000,BTCUSD,83396.80000
2025-03-17,18:20:11.000,BTCUSD,83396.80000
2025-03-17,18:20:11.000,BTCUSD,83394.18000
2025-03-17,18:20:11.000,BTCUSD,83394.18000
2025-03-17,18:20:11.000,BTCUSD,83395.22000
2025-03-17,18:20:11.000,BTCUSD,83395.22000
2025-03-17,18:20:11.000,BTCUSD,83400.13000
2025-03-17,18:20:11.000,BTCUSD,83400.13000
2025-03-17,18:20:11.000,BTCUSD,83402.01000
2025-03-17,18:20:11.000,BTCUSD,83402.01000
2025-03-17,18:20:12.000,BTCUSD,83401.43000
2025-03-17,18:20:12.000,BTCUSD,83401.43000
2025-03-17,18:20:12.000,BTCUSD,83397.43000
2025-03-17,18:20:12.000,BTCUSD,83397.43000
2025-03-17,18:20:12.000,BTCUSD,83395.60000
2025-03-17,18:20:12.000,BTCUSD,83395.60000
2025-03-17,18:20:12.000,BTCUSD,83397.85000
